order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,order_year,order_month,order_month_name,profit_amount,calculated_profit_margin
O100069,C12061,P203877,Grocery,3.96,0.2,1,PayPal,2023-11-22,5,East,No,3.17,3.06,-2.81,44,Female,2023,11,November,0.10999999999999988,3.4700315457413216
O100070,C10241,P242871,Toys,8.5,0.0,2,Debit Card,2024-05-30,8,South,No,17.0,3.51,3.29,25,Female,2024,5,May,13.49,79.3529411764706
O100071,C12041,P218720,Fashion,150.12,0.0,3,Debit Card,2024-10-18,4,West,No,391.76,8.26,80.58125000000001,28,Female,2024,10,October,383.5,97.89156626506025
O100072,C12824,P207676,Electronics,97.95,0.1,1,Debit Card,2024-09-21,6,East,No,88.16,6.72,3.86,53,Male,2024,9,September,81.44,92.37749546279493
O100073,C17513,P231818,Sports,217.48,0.0,1,Credit Card,2025-02-24,6,South,No,217.48,7.67,57.57,24,Male,2025,2,February,209.81,96.47323891852125
O100074,C12612,P234348,Fashion,16.18,0.0,2,Credit Card,2024-12-06,4,South,No,32.36,4.73,6.6,69,Male,2024,12,December,27.63,85.38318912237331
O100075,C17041,P248555,Fashion,26.06,0.05,3,COD,2023-12-21,5,West,No,74.27,6.24,19.75,46,Other,2023,12,December,68.03,91.59822270095597
O100076,C11363,P242368,Sports,23.23,0.3,2,Credit Card,2025-02-13,4,Central,No,32.52,5.1,4.66,31,Male,2025,2,February,27.42,84.31734317343174
O100077,C16235,P248180,Sports,20.73,0.0,2,COD,2024-05-14,5,West,No,41.46,4.31,8.13,20,Female,2024,5,May,37.15,89.6044380125422
O100078,C15486,P224130,Home,23.16,0.0,1,UPI,2023-12-20,3,Central,No,23.16,4.81,1.67,45,Male,2023,12,December,18.35,79.23143350604491
O100079,C17099,P233241,Grocery,6.53,0.0,4,Credit Card,2024-06-28,3,North,No,26.12,6.21,-4.12,68,Male,2024,6,June,19.91,76.2251148545176
O100080,C11478,P244392,Sports,82.93,0.05,1,Wallet,2024-03-13,4,West,No,78.78,8.3,15.33,59,Female,2024,3,March,70.48,89.46433104848947
O100081,C17595,P249421,Grocery,3.95,0.0,1,Wallet,2025-01-23,4,West,No,3.95,2.63,-2.31,38,Female,2025,1,January,1.3200000000000003,33.41772151898735
O100082,C12556,P226620,Fashion,137.66,0.0,1,UPI,2025-04-20,4,South,No,137.66,7.01,41.17,50,Female,2025,4,April,130.65,94.90774371640273
O100083,C10775,P217077,Fashion,48.41,0.1,4,Credit Card,2023-09-23,6,West,No,174.28,8.27,52.73,29,Female,2023,9,September,166.01,95.2547624512279
O100084,C14014,P212663,Electronics,302.34,0.05,1,Debit Card,2024-06-08,4,South,No,391.76,10.44,75.41,28,Male,2024,6,June,381.32,97.33510312436185
O100085,C10034,P217799,Fashion,12.92,0.0,3,Wallet,2025-08-04,4,South,No,38.76,6.83,6.74,20,Female,2025,8,August,31.93,82.37874097007224
O100086,C16349,P247285,Grocery,3.04,0.0,1,Debit Card,2024-06-12,4,South,No,3.04,1.93,-1.69,59,Female,2024,6,June,1.11,36.51315789473685
O100087,C13152,P217619,Grocery,25.7,0.1,4,Credit Card,2024-06-18,3,North,No,92.52,9.09,-1.69,32,Male,2024,6,June,83.42999999999999,90.17509727626458
O100088,C11955,P203967,Toys,18.51,0.05,1,PayPal,2023-12-20,5,South,No,17.58,3.71,3.32,62,Female,2023,12,December,13.869999999999997,78.89647326507394
O100089,C11585,P227488,Beauty,71.36,0.15,1,Debit Card,2024-07-05,7,South,No,60.66,5.34,21.96,34,Male,2024,7,July,55.31999999999999,91.19683481701286
O100090,C13943,P213211,Toys,5.12,0.0,1,UPI,2025-02-09,6,West,No,5.12,1.8,0.25,59,Female,2025,2,February,3.3200000000000003,64.84375
O100091,C17555,P221169,Beauty,3.65,0.0,1,UPI,2024-07-08,4,South,No,3.65,1.97,-0.33,54,Female,2024,7,July,1.68,46.02739726027397
O100092,C13073,P230373,Electronics,302.34,0.0,3,COD,2024-08-10,4,West,No,391.76,12.41,80.58125000000001,61,Female,2024,8,August,379.34999999999997,96.83224423116194
O100093,C11021,P232669,Home,168.01,0.05,2,Debit Card,2024-01-20,6,East,No,319.22,7.51,80.58125000000001,57,Male,2024,1,January,311.71000000000004,97.64739051437881
O100094,C13461,P206634,Beauty,43.33,0.0,3,Debit Card,2025-07-02,4,Central,No,129.99,6.28,52.22,53,Female,2025,7,July,123.71000000000001,95.16885914301099
O100095,C12613,P200840,Fashion,22.26,0.0,1,Wallet,2025-02-22,7,East,No,22.26,3.96,3.83,27,Male,2025,2,February,18.3,82.21024258760107
O100096,C15225,P234229,Fashion,5.15,0.05,1,Credit Card,2023-09-12,5,East,No,4.89,3.77,-2.06,36,Male,2023,9,September,1.1199999999999997,22.90388548057259
O100097,C13843,P221318,Fashion,37.42,0.1,5,COD,2024-09-26,3,Central,No,168.39,8.25,50.69,29,Male,2024,9,September,160.14,95.10065918403706
O100098,C17989,P215405,Beauty,115.85,0.15,1,Debit Card,2025-05-02,5,West,No,98.47,6.58,37.73,40,Female,2025,5,May,91.89,93.31776175484919
O100099,C11500,P247771,Electronics,302.34,0.0,1,COD,2025-05-08,4,South,No,391.76,8.88,80.58125000000001,32,Female,2025,5,May,382.88,97.73330610577905
O100100,C14798,P236240,Sports,17.35,0.1,1,Debit Card,2025-02-25,5,West,Yes,15.62,4.69,-0.0,41,Male,2025,2,February,10.93,69.97439180537772
O100101,C16545,P215847,Home,37.39,0.2,1,Credit Card,2025-02-04,5,North,No,29.91,3.68,4.69,49,Male,2025,2,February,26.23,87.69642260113675
O100102,C16873,P223547,Fashion,23.33,0.0,5,Credit Card,2025-05-02,5,Central,No,116.65,7.12,33.71,38,Male,2025,5,May,109.53,93.89627089584226
O100103,C15675,P206575,Toys,36.89,0.15,1,Credit Card,2024-11-29,6,East,No,31.36,3.99,8.55,47,Female,2024,11,November,27.369999999999997,87.27678571428571
O100104,C10161,P230123,Home,239.28,0.2,1,Credit Card,2024-11-14,4,South,No,191.42,8.6,45.0,69,Male,2024,11,November,182.82,95.5072615191725
O100105,C14297,P204843,Home,36.94,0.0,1,COD,2023-10-23,7,South,No,36.94,5.01,5.33,49,Male,2023,10,October,31.93,86.43746616134273
O100106,C11981,P227451,Toys,16.98,0.0,2,Credit Card,2024-11-21,4,North,No,33.96,4.16,9.42,19,Male,2024,11,November,29.8,87.75029446407538
O100107,C10995,P207739,Home,101.74,0.0,2,Wallet,2024-06-08,6,East,No,203.48,7.89,49.08,54,Female,2024,6,June,195.59,96.12246903872617
O100108,C16413,P214852,Toys,12.52,0.2,1,Credit Card,2024-07-11,3,North,No,10.02,2.22,1.79,51,Male,2024,7,July,7.799999999999999,77.8443113772455
O100109,C14911,P249092,Home,111.08,0.0,1,Debit Card,2024-08-06,5,North,No,111.08,7.66,23.44,39,Male,2024,8,August,103.42,93.10406913935903
O100110,C13342,P209157,Fashion,22.03,0.05,3,COD,2023-12-23,8,East,No,62.79,5.86,16.12,50,Female,2023,12,December,56.93,90.66730371078198
O100111,C14551,P222406,Beauty,21.58,0.05,3,UPI,2023-12-04,3,North,No,61.5,5.64,22.04,60,Male,2023,12,December,55.86,90.82926829268293
O100112,C17629,P247284,Fashion,61.89,0.05,1,COD,2025-01-21,4,South,No,58.8,7.65,12.93,28,Male,2025,1,January,51.15,86.98979591836735
O100113,C13798,P245200,Electronics,70.98,0.0,2,UPI,2025-08-08,4,West,No,141.96,6.85,10.19,46,Female,2025,8,August,135.11,95.17469709777403
O100114,C11275,P207432,Electronics,302.34,0.0,1,Credit Card,2024-10-29,4,South,No,391.76,7.91,80.58125000000001,69,Female,2024,10,October,383.84999999999997,97.98090667755768
O100115,C11016,P218837,Fashion,13.88,0.0,1,Debit Card,2025-05-07,4,South,No,13.88,5.31,-0.45,63,Male,2025,5,May,8.57,61.74351585014409
O100116,C17869,P215148,Sports,53.93,0.0,1,Debit Card,2025-06-03,5,North,No,53.93,5.21,10.97,57,Female,2025,6,June,48.72,90.33932875950306
O100117,C16439,P211194,Toys,14.51,0.0,1,Credit Card,2025-08-04,5,East,No,14.51,4.15,1.65,48,Male,2025,8,August,10.36,71.39903514817367
O100118,C17892,P232591,Toys,2.82,0.2,3,Credit Card,2025-05-06,5,West,No,6.77,3.43,-0.72,24,Other,2025,5,May,3.3399999999999994,49.33530280649926
O100119,C16863,P214819,Fashion,44.08,0.05,4,Wallet,2023-11-12,8,Central,No,167.5,7.43,51.19,36,Female,2023,11,November,160.07,95.5641791044776
O100120,C17916,P206625,Sports,210.6,0.1,1,Credit Card,2023-09-15,4,South,No,189.54,9.21,47.65,66,Female,2023,9,September,180.32999999999998,95.14086736308957
O100121,C10337,P207404,Fashion,118.71,0.0,1,COD,2025-02-04,3,North,No,118.71,6.57,34.98,61,Female,2025,2,February,112.13999999999999,94.46550416982562
O100122,C10878,P214674,Beauty,12.67,0.0,2,PayPal,2025-01-20,6,South,No,25.34,3.95,7.45,42,Male,2025,1,January,21.39,84.41199684293608
O100123,C11076,P210507,Grocery,11.77,0.2,1,COD,2025-04-06,7,East,No,9.42,1.0,-0.25,48,Female,2025,4,April,8.42,89.38428874734608
O100124,C14887,P220387,Electronics,302.34,0.15,1,PayPal,2024-02-16,4,Central,Yes,391.76,9.4,45.41,28,Female,2024,2,February,382.36,97.60057177863999
O100125,C13993,P218697,Grocery,4.84,0.0,1,COD,2023-11-18,6,South,No,4.84,1.46,-1.07,33,Female,2023,11,November,3.38,69.83471074380165
O100126,C16360,P237391,Toys,16.78,0.0,2,Credit Card,2024-10-02,4,South,Yes,33.56,5.18,8.24,34,Female,2024,10,October,28.380000000000003,84.56495828367105
O100127,C14859,P219547,Toys,10.98,0.0,1,Debit Card,2025-01-30,5,South,No,10.98,1.74,2.65,23,Female,2025,1,January,9.24,84.15300546448087
O100128,C16331,P223570,Sports,56.72,0.0,2,COD,2024-02-26,6,East,No,113.44,8.53,25.5,38,Male,2024,2,February,104.91,92.48060648801129
O100129,C10379,P239783,Toys,3.94,0.05,1,Credit Card,2025-06-09,5,Central,No,3.74,1.52,-0.02,62,Male,2025,6,June,2.22,59.35828877005348
O100130,C10492,P228037,Grocery,7.88,0.2,1,Credit Card,2025-02-12,7,South,No,6.3,2.16,-1.66,27,Female,2025,2,February,4.14,65.71428571428571
O100131,C17208,P230083,Toys,5.45,0.0,3,Wallet,2025-09-02,4,South,No,16.35,4.57,1.97,25,Female,2025,9,September,11.780000000000001,72.04892966360856
O100132,C15276,P248029,Fashion,22.63,0.1,1,Credit Card,2024-06-06,7,East,No,20.37,3.95,3.18,65,Male,2024,6,June,16.42,80.6087383406971
O100133,C12062,P240550,Beauty,12.82,0.0,1,Credit Card,2024-04-16,4,Central,No,12.82,3.74,2.03,18,Male,2024,4,April,9.08,70.82683307332293
O100134,C13884,P237982,Fashion,32.69,0.15,1,UPI,2024-07-16,6,South,No,27.79,7.19,2.54,21,Male,2024,7,July,20.599999999999998,74.12738395106153
O100135,C10064,P239706,Grocery,33.76,0.0,2,UPI,2024-07-26,6,South,No,67.52,5.44,-0.04,41,Female,2024,7,July,62.08,91.94312796208531
O100136,C12568,P202988,Grocery,14.13,0.0,2,COD,2025-05-13,5,Central,No,28.26,5.99,-3.73,58,Female,2025,5,May,22.270000000000003,78.80396319886766
O100137,C15463,P205156,Beauty,92.86,0.0,1,Credit Card,2025-04-03,5,South,No,92.86,7.23,34.56,51,Female,2025,4,April,85.63,92.21408572043937
O100138,C15248,P238280,Toys,19.57,0.05,1,PayPal,2024-08-06,6,South,No,18.59,5.17,2.27,40,Male,2024,8,August,13.42,72.18934911242604
O100139,C12027,P209788,Grocery,22.56,0.05,1,Debit Card,2023-11-21,3,North,No,21.43,5.71,-4.0,43,Female,2023,11,November,15.719999999999999,73.35510965935605
O100140,C12695,P214185,Fashion,93.34,0.05,2,UPI,2024-03-05,5,Central,No,177.35,6.54,55.53,46,Female,2024,3,March,170.81,96.3123766563293
O100141,C11495,P218734,Beauty,35.91,0.1,1,Debit Card,2023-12-19,5,North,No,32.32,5.16,9.38,49,Female,2023,12,December,27.16,84.03465346534654
O100142,C17230,P209971,Home,155.94,0.0,1,PayPal,2023-09-27,4,Central,No,155.94,7.4,36.26,43,Female,2023,9,September,148.54,95.25458509683212
O100143,C15258,P243408,Toys,12.64,0.1,2,PayPal,2025-02-13,7,North,No,22.75,4.33,4.77,52,Female,2025,2,February,18.42,80.96703296703296
O100144,C15618,P206487,Home,120.29,0.0,1,COD,2024-02-24,5,West,No,120.29,7.36,26.32,31,Male,2024,2,February,112.93,93.88145315487571
O100145,C16736,P220997,Sports,31.17,0.1,1,COD,2024-06-06,4,West,No,28.05,6.92,1.49,38,Female,2024,6,June,21.130000000000003,75.32976827094475
O100146,C10391,P246456,Home,136.79,0.1,1,Credit Card,2023-12-11,4,West,No,123.11,6.32,28.15,37,Female,2023,12,December,116.78999999999999,94.86637966046625
O100147,C15794,P212452,Electronics,284.7,0.0,1,Wallet,2024-10-16,6,North,No,284.7,9.1,25.06,50,Female,2024,10,October,275.59999999999997,96.80365296803653
O100148,C14514,P215372,Electronics,302.34,0.0,2,Debit Card,2025-02-20,4,West,No,391.76,9.05,80.58125000000001,36,Female,2025,2,February,382.71,97.68991219113742
O100149,C16432,P244767,Electronics,302.34,0.0,4,UPI,2023-12-19,6,East,No,391.76,11.85,80.58125000000001,19,Female,2023,12,December,379.90999999999997,96.97518889115784
O100150,C14474,P213434,Electronics,96.31,0.0,4,UPI,2024-12-04,7,East,No,385.24,9.61,36.62,38,Female,2024,12,December,375.63,97.50545114733671
O100151,C15892,P212416,Beauty,31.77,0.0,5,COD,2025-07-11,5,South,No,158.85,7.94,63.54,19,Female,2025,7,July,150.91,95.0015738117721
O100152,C13561,P219248,Sports,302.34,0.0,2,UPI,2025-07-05,5,South,No,391.76,9.29,80.58125000000001,58,Female,2025,7,July,382.46999999999997,97.62865019399631
O100153,C12278,P246713,Electronics,302.34,0.0,1,PayPal,2024-01-02,3,North,No,391.76,10.06,80.58125000000001,31,Female,2024,1,January,381.7,97.43210128650193
O100154,C17161,P228194,Beauty,47.06,0.05,1,Debit Card,2024-03-17,3,Central,No,44.71,5.76,14.36,24,Male,2024,3,March,38.95,87.11697606799375
O100155,C16184,P233785,Beauty,4.21,0.0,1,COD,2024-12-04,3,North,No,4.21,2.28,-0.39,25,Female,2024,12,December,1.9300000000000002,45.843230403800476
O100156,C13099,P237458,Electronics,144.57,0.0,2,Debit Card,2024-11-14,3,North,No,289.14,8.7,26.0,63,Male,2024,11,November,280.44,96.99107698692674
O100157,C16278,P208373,Home,31.13,0.0,1,Credit Card,2023-09-18,3,North,No,31.13,3.29,5.43,28,Male,2023,9,September,27.84,89.43141663989721
O100158,C10200,P230283,Sports,267.28,0.2,1,PayPal,2025-02-28,4,Central,No,213.82,7.25,56.9,52,Male,2025,2,February,206.57,96.6092975399869
O100159,C15959,P229415,Electronics,302.34,0.05,1,Credit Card,2025-07-14,4,Central,No,391.76,8.66,48.24,45,Male,2025,7,July,383.09999999999997,97.78946293649172
O100160,C14875,P226414,Electronics,296.62,0.2,2,Wallet,2024-02-27,4,North,No,391.76,8.71,48.24,36,Female,2024,2,February,383.05,97.77670002042068
O100161,C17073,P214378,Grocery,52.12,0.0,1,COD,2025-07-09,4,South,No,52.12,6.56,-2.39,50,Female,2025,7,July,45.559999999999995,87.4136607828089
O100162,C13104,P218336,Sports,31.3,0.0,1,Credit Card,2024-01-01,4,West,No,31.3,4.71,4.68,32,Male,2024,1,January,26.59,84.95207667731628
O100163,C17215,P204700,Home,145.09,0.1,1,Debit Card,2024-11-10,3,Central,No,130.58,8.51,28.05,38,Male,2024,11,November,122.07000000000001,93.48292234645427
O100164,C14598,P213901,Beauty,26.03,0.0,1,Debit Card,2024-04-08,4,West,No,26.03,7.52,4.19,44,Male,2024,4,April,18.51,71.1102573953131
O100165,C12454,P224838,Toys,10.19,0.2,1,Credit Card,2024-02-12,6,West,No,8.15,3.7,-0.44,21,Male,2024,2,February,4.45,54.601226993865026
